"用户编号","缴费总额","缴费次数","用户类型","平均金额","平均缴费次","guiyi_money","guiyi_ci"
"1000000001","987","8","高价值型客户","705.24","6.64","0.5882825040128411","1"
"1000000002","490","7","大众型客户","705.24","6.64","0.18940609951845908","0.8"
"1000000004","621","8","大众型客户","705.24","6.64","0.2945425361155698","1"
"1000000005","1500","7","高价值型客户","705.24","6.64","1","0.8"
"1000000006","1010","7","高价值型客户","705.24","6.64","0.6067415730337079","0.8"
"1000000007","1106","7","高价值型客户","705.24","6.64","0.6837881219903692","0.8"
"1000000008","1074","7","高价值型客户","705.24","6.64","0.6581059390048154","0.8"
"1000000009","970","7","高价值型客户","705.24","6.64","0.5746388443017657","0.8"
"1000000010","773","8","高价值型客户","705.24","6.64","0.41653290529695025","1"
"1000000011","748","7","高价值型客户","705.24","6.64","0.39646869983948635","0.8"
"1000000012","911","7","高价值型客户","705.24","6.64","0.5272873194221509","0.8"
"1000000013","835","7","高价值型客户","705.24","6.64","0.46629213483146065","0.8"
"1000000014","749","7","高价值型客户","705.24","6.64","0.3972712680577849","0.8"
"1000000015","700","7","大众型客户","705.24","6.64","0.3579454253611557","0.8"
"1000000016","784","8","高价值型客户","705.24","6.64","0.42536115569823435","1"
"1000000017","780","7","高价值型客户","705.24","6.64","0.42215088282504015","0.8"
"1000000018","641","7","大众型客户","705.24","6.64","0.31059390048154095","0.8"
"1000000019","729","6","潜力型客户","705.24","6.64","0.3812199036918138","0.6"
"1000000020","899","7","高价值型客户","705.24","6.64","0.5176565008025682","0.8"
"1000000021","757","7","高价值型客户","705.24","6.64","0.40369181380417335","0.8"
"1000000022","534","6","低价值型客户","705.24","6.64","0.2247191011235955","0.6"
"1000000023","493","5","低价值型客户","705.24","6.64","0.19181380417335472","0.4"
"1000000024","904","7","高价值型客户","705.24","6.64","0.521669341894061","0.8"
"1000000025","651","7","大众型客户","705.24","6.64","0.3186195826645265","0.8"
"1000000026","777","7","高价值型客户","705.24","6.64","0.41974317817014445","0.8"
"1000000027","631","7","大众型客户","705.24","6.64","0.3025682182985554","0.8"
"1000000028","571","6","低价值型客户","705.24","6.64","0.25441412520064205","0.6"
"1000000029","691","7","大众型客户","705.24","6.64","0.3507223113964687","0.8"
"1000000030","671","7","大众型客户","705.24","6.64","0.3346709470304976","0.8"
"1000000031","655","7","大众型客户","705.24","6.64","0.3218298555377207","0.8"
"1000000032","519","6","低价值型客户","705.24","6.64","0.21268057784911718","0.6"
"1000000033","545","6","低价值型客户","705.24","6.64","0.23354735152487963","0.6"
"1000000034","721","7","高价值型客户","705.24","6.64","0.37479935794542535","0.8"
"1000000035","769","7","高价值型客户","705.24","6.64","0.413322632423756","0.8"
"1000000036","645","6","低价值型客户","705.24","6.64","0.31380417335473515","0.6"
"1000000037","627","7","大众型客户","705.24","6.64","0.29935794542536115","0.8"
"1000000038","534","6","低价值型客户","705.24","6.64","0.2247191011235955","0.6"
"1000000039","750","7","高价值型客户","705.24","6.64","0.39807383627608345","0.8"
"1000000040","656","7","大众型客户","705.24","6.64","0.32263242375601925","0.8"
"1000000041","683","6","低价值型客户","705.24","6.64","0.34430176565008025","0.6"
"1000000042","612","7","大众型客户","705.24","6.64","0.28731942215088285","0.8"
"1000000043","640","7","大众型客户","705.24","6.64","0.3097913322632424","0.8"
"1000000044","601","6","低价值型客户","705.24","6.64","0.2784911717495987","0.6"
"1000000045","711","7","高价值型客户","705.24","6.64","0.3667736757624398","0.8"
"1000000046","711","6","潜力型客户","705.24","6.64","0.3667736757624398","0.6"
"1000000047","654","7","大众型客户","705.24","6.64","0.32102728731942215","0.8"
"1000000048","678","6","低价值型客户","705.24","6.64","0.3402889245585875","0.6"
"1000000049","589","7","大众型客户","705.24","6.64","0.26886035313001605","0.8"
"1000000050","568","7","大众型客户","705.24","6.64","0.2520064205457464","0.8"
"1000000051","597","6","低价值型客户","705.24","6.64","0.2752808988764045","0.6"
"1000000052","766","7","高价值型客户","705.24","6.64","0.41091492776886035","0.8"
"1000000053","694","7","大众型客户","705.24","6.64","0.35313001605136435","0.8"
"1000000054","459","6","低价值型客户","705.24","6.64","0.16452648475120385","0.6"
"1000000055","788","7","高价值型客户","705.24","6.64","0.42857142857142855","0.8"
"1000000056","714","7","高价值型客户","705.24","6.64","0.36918138041733545","0.8"
"1000000057","711","7","高价值型客户","705.24","6.64","0.3667736757624398","0.8"
"1000000058","685","7","大众型客户","705.24","6.64","0.34590690208667735","0.8"
"1000000059","740","8","高价值型客户","705.24","6.64","0.3900481540930979","1"
"1000000060","730","7","高价值型客户","705.24","6.64","0.38202247191011235","0.8"
"1000000061","683","7","大众型客户","705.24","6.64","0.34430176565008025","0.8"
"1000000062","773","7","高价值型客户","705.24","6.64","0.41653290529695025","0.8"
"1000000063","628","7","大众型客户","705.24","6.64","0.3001605136436597","0.8"
"1000000064","520","6","低价值型客户","705.24","6.64","0.21348314606741572","0.6"
"1000000065","734","7","高价值型客户","705.24","6.64","0.3852327447833066","0.8"
"1000000066","699","6","低价值型客户","705.24","6.64","0.35714285714285715","0.6"
"1000000067","689","7","大众型客户","705.24","6.64","0.3491171749598716","0.8"
"1000000068","711","7","高价值型客户","705.24","6.64","0.3667736757624398","0.8"
"1000000069","548","6","低价值型客户","705.24","6.64","0.23595505617977527","0.6"
"1000000070","667","8","大众型客户","705.24","6.64","0.33146067415730335","1"
"1000000071","742","7","高价值型客户","705.24","6.64","0.391653290529695","0.8"
"1000000072","798","7","高价值型客户","705.24","6.64","0.43659711075441415","0.8"
"1000000073","404","4","低价值型客户","705.24","6.64","0.12038523274478331","0.2"
"1000000074","636","7","大众型客户","705.24","6.64","0.30658105939004815","0.8"
"1000000075","629","7","大众型客户","705.24","6.64","0.30096308186195825","0.8"
"1000000076","725","7","高价值型客户","705.24","6.64","0.3780096308186196","0.8"
"1000000077","720","7","高价值型客户","705.24","6.64","0.3739967897271268","0.8"
"1000000078","592","5","低价值型客户","705.24","6.64","0.2712680577849117","0.4"
"1000000079","597","6","低价值型客户","705.24","6.64","0.2752808988764045","0.6"
"1000000080","603","7","大众型客户","705.24","6.64","0.28009630818619585","0.8"
"1000000081","680","7","大众型客户","705.24","6.64","0.3418940609951846","0.8"
"1000000082","508","5","低价值型客户","705.24","6.64","0.20385232744783308","0.4"
"1000000083","748","7","高价值型客户","705.24","6.64","0.39646869983948635","0.8"
"1000000084","1289","7","高价值型客户","705.24","6.64","0.8306581059390048","0.8"
"1000000085","569","7","大众型客户","705.24","6.64","0.25280898876404495","0.8"
"1000000086","325","4","低价值型客户","705.24","6.64","0.05698234349919743","0.2"
"1000000087","651","7","大众型客户","705.24","6.64","0.3186195826645265","0.8"
"1000000088","538","7","大众型客户","705.24","6.64","0.22792937399678972","0.8"
"1000000089","388","5","低价值型客户","705.24","6.64","0.10754414125200643","0.4"
"1000000090","612","6","低价值型客户","705.24","6.64","0.28731942215088285","0.6"
"1000000091","761","7","高价值型客户","705.24","6.64","0.4069020866773676","0.8"
"1000000092","254","3","低价值型客户","705.24","6.64","0","0"
"1000000093","463","5","低价值型客户","705.24","6.64","0.16773675762439808","0.4"
"1000000094","626","6","低价值型客户","705.24","6.64","0.2985553772070626","0.6"
"1000000095","999","7","高价值型客户","705.24","6.64","0.5979133226324238","0.8"
"1000000096","916","7","高价值型客户","705.24","6.64","0.5313001605136437","0.8"
"1000000097","649","6","低价值型客户","705.24","6.64","0.31701444622792935","0.6"
"1000000098","735","6","潜力型客户","705.24","6.64","0.38603531300160515","0.6"
"1000000099","853","6","潜力型客户","705.24","6.64","0.48073836276083465","0.6"
"1000000100","943","7","高价值型客户","705.24","6.64","0.5529695024077047","0.8"
